5480,Ebuehi,Ebuhei Tyronne,D,Dd;E,13,3,13,3,Empoli,12,12,destro,Nigeria;Olanda,16/12/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/EBUEHI.png?v=29,0,6.0,6.39
5450,Stojanovic,Stojanovic Peter,D,Dd;E,4,7,4,7,Empoli,4,4,destro,Slovenia,07/10/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/STOJANOVIC.png?v=29,0,5.62,5.60
5804,Cacace,Cacace Liberato,D,Ds;E,3,3,3,3,Empoli,3,3,sinistro,Nuova Zelanda;Italia,27/09/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CACACE.png?v=29,0,5.71,5.64
5449,Parisi,Parisi Fabiano,D,Ds;E,13,8,13,8,Empoli,22,22,sinistro,Italia,09/11/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PARISI.png?v=29,0,6.15,6.22
2778,Stulac,Stulac Leo,C,M;C,7,7,7,7,Empoli,0,0,destro,Slovenia,26/09/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/STULAC.png?v=29,1,0.0,0.0
2253,Bandinelli,Bandinelli Filippo,C,C,10,6,10,5,Empoli,10,10,sinistro,Italia,29/03/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BANDINELLI.png?v=29,0,5.93,6.02
2161,Haas,Haas Nicolas,C,C,6,3,6,3,Empoli,6,6,destro,Svizzera,23/01/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/HAAS.png?v=29,0,5.88,5.98
4965,Marin,Marin Razvan,C,M;C,9,7,9,8,Empoli,12,13,destro,Romania,23/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MARIN.png?v=29,0,5.89,6.07
4498,Henderson L.,Henderson Liam,C,C;T,3,8,3,8,Empoli,6,6,destro,Scozia,25/04/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/HENDERSON.png?v=29,0,5.81,5.64
5451,Bajrami,Bajrami Nedim,C,T,10,18,10,17,Sassuolo,18,17,destro,Svizzera;Macedonia Del Nord,28/02/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BAJRAMI.png?v=29,0,5.83,6.07
5823,Baldanzi,Baldanzi Tommaso,C,T;A,19,1,19,1,Empoli,44,42,sinistro,Italia,23/03/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BALDANZI.png?v=29,0,6.19,6.74
472,Destro,Destro Mattia,A,Pc,3,18,2,16,Empoli,8,5,destro,Italia,20/03/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DESTRO.png?v=29,0,5.71,6.0
5460,Satriano,Satriano Martin,A,Pc,10,14,10,13,Empoli,18,15,destro,Uruguay;Italia,20/02/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SATRIANO.png?v=29,0,5.88,6.10
610,Gollini,Gollini Pierluigi,P,Por,3,12,3,12,Napoli,1,1,destro,Italia,18/03/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GOLLINI.png?v=29,0,5.88,5.38
2790,Rosati,Rosati Antonio,P,Por,1,1,1,1,Fiorentina,0,0,destro,Italia,26/06/1983 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ROSATI.png?v=29,1,0.0,0.0
2815,Terracciano,Terracciano Pietro,P,Por,11,1,11,1,Fiorentina,40,40,destro,Italia,08/03/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/TERRACCIANO.png?v=29,0,6.04,4.82
5323,Martinez Quarta,Martinez Quarta Lucas,D,Dc,9,4,9,4,Fiorentina,17,18,destro,Argentina;Italia,10/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-QUARTA.png?v=29,0,6.0,6.12
2453,Nastasic,Nastasic Matija,D,Dc,1,1,1,1,Fiorentina,0,0,sinistro,Serbia,28/03/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NASTASIC.png?v=29,1,0.0,0.0
2164,Milenkovic,Milenkovic Nikola,D,Dd;Dc,9,11,9,12,Fiorentina,18,19,destro,Serbia,12/10/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MILENKOVIC.png?v=29,0,5.90,6.10
4407,Igor,Igor,D,Ds;Dc,4,9,4,10,Fiorentina,15,16,sinistro,Brasile,07/02/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/IGOR.png?v=29,0,5.79,5.57
252,Biraghi,Biraghi Cristiano,D,Ds;E,10,13,10,13,Fiorentina,22,22,sinistro,Italia,12/09/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BIRAGHI.png?v=29,0,6.02,6.10
4375,Terzic,Terzic Aleksa,D,Ds;E,3,2,3,2,Fiorentina,7,7,sinistro,Serbia,17/08/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/TERZIC.png?v=29,0,5.95,5.95
2174,Venuti,Venuti Lorenzo,D,Dd;Ds;E,2,3,2,3,Fiorentina,4,4,destro,Italia,12/04/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VENUTI.png?v=29,0,5.65,5.65
4522,Amrabat,Amrabat Sofyan,C,M;C,6,8,6,8,Fiorentina,16,16,destro,Marocco;Olanda,21/08/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/AMRABAT.png?v=29,0,6.02,5.81
526,Duncan,Duncan Alfred,C,M;C,3,7,3,7,Fiorentina,7,7,sinistro,Ghana,10/03/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DUNCAN.png?v=29,0,5.73,5.65
1933,Mandragora,Mandragora Rolando,C,M;C,12,9,12,9,Fiorentina,17,17,sinistro,Italia,29/06/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MANDRAGORA.png?v=29,0,6.02,6.31
557,Benassi,Benassi Marco,C,C,5,3,5,3,Cremonese,6,6,destro,Italia,08/09/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BENASSI.png?v=29,0,5.88,5.85
5457,Maleh,Maleh Youssef,C,C,4,3,4,3,Lecce,8,8,sinistro,Italia;Marocco,22/08/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MALEH.png?v=29,0,5.81,5.69
4376,Zurkowski,Zurkowski Szymon,C,C,3,8,3,8,Spezia,12,12,destro,Polonia,25/09/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZURKOWSKI.png?v=29,0,5.75,5.83
4377,Castrovilli,Castrovilli Gaetano,C,C;T,3,9,3,9,Fiorentina,11,11,destro,Italia,17/02/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CASTROVILLI.png?v=29,0,6.0,5.8
367,Bonaventura,Bonaventura Giacomo,C,C;W;T,16,14,17,16,Fiorentina,37,40,destro,Italia,22/08/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BONAVENTURA.png?v=29,0,6.22,6.65
150,Saponara,Saponara Riccardo,C,W;T,11,11,11,11,Fiorentina,20,20,destro,Italia,21/12/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SAPONARA.png?v=29,0,6.03,6.37
4658,Ikone',Ikonè Jonathan,C,W;A,13,14,13,14,Fiorentina,20,20,sinistro,Francia;Repubblica Democratica Del Congo,02/05/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/IKONE.png?v=29,0,5.98,6.23
2839,Sottil,Sottil Riccardo,C,W;A,6,8,6,8,Fiorentina,13,13,destro,Italia,03/06/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SOTTIL.png?v=29,0,6.0,6.15
4179,Gonzalez N.,Gonzalez Nicolas,A,A,18,20,18,20,Fiorentina,45,45,sinistro,Argentina,06/04/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GONZALEZ-N.png?v=29,0,6.12,6.78
5786,Cabral,Cabral Arthur ,A,Pc,25,19,24,18,Fiorentina,92,90,destro,Brasile,25/04/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CABRAL.png?v=29,0,6.24,7.29
2438,Jovic,Jovic Luka,A,Pc,12,24,12,24,Fiorentina,45,42,ambidestro,Serbia,23/12/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/JOVIC.png?v=29,0,5.88,6.26
5391,Kokorin,Kokorin Aleksandr,A,Pc,1,1,1,1,Fiorentina,0,0,destro,Russia,19/03/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KOKORIN.png?v=29,1,0.0,0.0
